类别名称,类别数,检出数,误检数,检出率,漏检率,AP
金属罐装瓶,486,368.0,340.0,0.7572016445325069,0.48022598802227967,0.48287125693691474
金属易拉罐,663,263.0,41.0,0.39668174902461273,0.13486842060898546,0.37958445751921427
扳手,830,787.0,67.0,0.9481927699419365,0.07845433246082631,0.9375039333122454
子弹群,1379,1371.0,83.0,0.9941986939853525,0.05708390642566443,0.9910465461575282
手雷,1315,1146.0,25.0,0.8714828890711156,0.0213492741064481,0.8706832746545755
砍刀,267,251.0,17.0,0.9400749028461615,0.06343283558420584,0.9391265950728169
水果刀,1167,905.0,205.0,0.7754927157022341,0.18468468451830206,0.7326133784293214
匕首,626,505.0,83.0,0.8067092638870459,0.141156462344972,0.7677687374368912
狼牙棒,219,112.0,26.0,0.5114155227789245,0.1884057957361899,0.49824344930760145
钳子,819,703.0,46.0,0.858363857315795,0.061415220211728676,0.845377119172573
玻璃乳液瓶,2805,1689.0,296.0,0.6021390372184888,0.14911838783419729,0.5609146971772638
手表,876,809.0,71.0,0.9235159806809178,0.08068181809013429,0.9165078313233119
名牌包包,233,138.0,9.0,0.5922746755696366,0.06122448937942524,0.5778782787034249
打火机,552,446.0,111.0,0.8079710130290381,0.19928186678764476,0.7852357588973343
雨伞,368,337.0,49.0,0.9157608670767368,0.12694300485247925,0.8945546792942427
金属喷剂瓶,311,274.0,18.0,0.8810289360738619,0.061643835405329334,0.8735008838715375
酒瓶,2664,2419.0,71.0,0.9080330326921798,0.028514056213448172,0.9037729963540706
螺丝刀,336,279.0,83.0,0.8303571403858419,0.22928176732242606,0.792028196950544
菜刀,839,760.0,95.0,0.9058402849751606,0.1111111109811566,0.8854998687752557
剪刀,703,613.0,108.0,0.8719772391579271,0.1497919554094425,0.8395908384260012
金属保温杯,425,413.0,22.0,0.9717647035958478,0.05057471252741445,0.9665137175781577
蓄电池,586,439.0,98.0,0.7491467564007734,0.18249534416667534,0.6972539375657829
电动车锂电池,279,227.0,89.0,0.8136200687683869,0.28164556872896973,0.7970676845905823
手机,774,733.0,145.0,0.9470284225490588,0.16514806359322545,0.9331632954736434
塑料饮料瓶,708,557.0,212.0,0.786723162730617,0.27568270445294835,0.7525143713767222
手枪,870,840.0,40.0,0.9655172402695205,0.045454545402892566,0.9598956984918958
柴刀,339,315.0,58.0,0.9292035370819954,0.15549597813539953,0.9174480470572062
玻璃花露水,57,48.0,168.0,0.8421052483841185,0.7777777741769547,0.5226897846819571
喷雾剂,300,143.0,116.0,0.4766666650777778,0.4478764461471952,0.389066471111204
金属化妆瓶,213,187.0,42.0,0.8779342681787123,0.18340611273621785,0.8238682328243863
书本,1317,408.0,9.0,0.30979498837525055,0.021582733761192484,0.3068270948847843
护照,234,15.0,0.0,0.06410256382862152,0.0,0.06410256382862152
鞭炮,612,571.0,36.0,0.9330065344231919,0.05930807238993728,0.9282571214548474
卡宾枪,264,257.0,35.0,0.9734848447974059,0.11986301328814036,0.9227842102539131
塑料乳液瓶,558,139.0,96.0,0.24910394220590693,0.4085106365595292,0.19375118822825743
玻璃饮料瓶,342,162.0,463.0,0.47368420914127424,0.74079999881472,0.19821410932546168
发胶,51,19.0,52.0,0.37254901230296056,0.7323943558817697,0.12758026224516797
化学品瓶,491,305.0,281.0,0.6211812614639893,0.47952218348204406,0.4825938858733263
塑料喷剂类,75,11.0,169.0,0.14666666471111114,0.9388888836728395,0.01875864973077283
玻璃香水,151,58.0,169.0,0.3841059577211526,0.744493388790778,0.13457318647254224
玻璃水杯,233,128.0,23.0,0.5493562208182137,0.1523178797859743,0.5202803047567954
甘蔗刀,366,253.0,68.0,0.691256828712413,0.21183800557059812,0.6563440487636336
锯,144,132.0,19.0,0.916666660300926,0.12582781373623964,0.9025279605502294
撬棍,115,108.0,72.0,0.9391304266162572,0.3999999977777778,0.8547963902476566
锤,162,113.0,15.0,0.6975308598917849,0.11718749908447267,0.6525078076446721
相机,593,550.0,41.0,0.9274873508811343,0.06937394235300517,0.9218950940847725
伸缩棍,78,52.0,13.0,0.6666666581196582,0.199999996923077,0.6298216827938512
充电宝,111,71.0,20.0,0.6396396338771204,0.21978021736505257,0.5995822042720038
平板,395,378.0,43.0,0.9569620228937671,0.10213776697829509,0.9316288969563985
美工刀,354,262.0,97.0,0.7401129922595678,0.27019498531979114,0.711945925307062
芦荟胶,11,1.0,26.0,0.09090908264462885,0.9629629272976693,0.09090908264462885
塑料洗甲水,16,2.0,16.0,0.12499999218750048,0.8888888395061756,0.1041666601562504
西瓜刀,176,139.0,8.0,0.7897727227853822,0.05442176833726688,0.7878034374470273
剑,41,29.0,2.0,0.7073170559190962,0.06451612695109267,0.7065040478088443
笔记本电脑电池,100,99.0,20.0,0.9899999901000002,0.16806722547842667,0.9275327990715905
钻头,113,103.0,3.0,0.9115044167123503,0.0283018865254539,0.90960560410676
电动工具,171,139.0,22.0,0.812865492322424,0.13664596188418657,0.7912868016069495
折叠刀,88,67.0,28.0,0.761363627711777,0.29473683900277015,0.6410965317457954
斧头,107,90.0,59.0,0.8411214874661543,0.3959731517048782,0.7648806531136628
双节棍,100,78.0,17.0,0.7799999922,0.17894736653739615,0.7642749959300258
塑料保温杯,47,37.0,48.0,0.7872340258035314,0.5647058757093426,0.639809454027086
壶类,143,63.0,13.0,0.4405594374786053,0.17105262932825488,0.4167021713015814
警棍,73,70.0,5.0,0.9589040964533686,0.06666666577777779,0.9575535273034346
洗手液,115,95.0,78.0,0.8260869493383743,0.4508670494169535,0.7340908753288894
铲锹,61,50.0,14.0,0.8196721177102931,0.21874999658203131,0.7866677287798555
输液瓶,77,50.0,173.0,0.6493506409175241,0.7757847498843733,0.21145405092179761
摩丝,57,28.0,21.0,0.49122806155740245,0.4285714198250731,0.41623193319424445
沐浴露,26,4.0,34.0,0.15384614792899431,0.8947368185595574,0.07471264080459782
枪支配件,26,0.0,37.0,0.0,0.9999999729729737,0.0
陶瓷刀,18,0.0,25.0,0.0,0.9999999600000016,0.0
塑料花露水,14,3.0,36.0,0.21428569897959293,0.9230768994082847,0.025714283877551154
锉刀,35,25.0,4.0,0.7142856938775517,0.13793102972651622,0.7098900896075361
烙铁,28,19.0,0.0,0.6785714043367356,0.0,0.6785714043367356
洗发水,8,1.0,21.0,0.12499998437500197,0.9545454111570267,0.011363634943181997
泥瓦刀,6,0.0,70.0,0.0,0.9999999857142859,0.0
固体酒精,7,6.0,1.0,0.857142734693895,0.1428571224489825,0.857142734693895
sum,30319,23267.0,5336.0,0.76740657670875,0.17599525049718015,0.6184279177493539
